event_id;severity;code;box;page;line;message
0011;info;IMPLICIT_TEXT_BOX;1;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
0103;info;WAIT_SAME_LINE_CONTINUATION;3;2;1;"WAIT $10 pauses without a newline; following text continues on the same physical line."
0103;info;WAIT_SAME_LINE_CONTINUATION;4;5;1;"WAIT $02 pauses without a newline; following text continues on the same physical line."
0103;info;WAIT_SAME_LINE_CONTINUATION;4;5;1;"WAIT $02 pauses without a newline; following text continues on the same physical line."
0103;info;WAIT_SAME_LINE_CONTINUATION;4;6;2;"WAIT $02 pauses without a newline; following text continues on the same physical line."
0103;info;WAIT_SAME_LINE_CONTINUATION;4;6;2;"WAIT $02 pauses without a newline; following text continues on the same physical line."
0103;info;WAIT_SAME_LINE_CONTINUATION;4;6;2;"WAIT $02 pauses without a newline; following text continues on the same physical line."
0103;info;WAIT_SAME_LINE_CONTINUATION;4;6;2;"WAIT $02 pauses without a newline; following text continues on the same physical line."
0103;info;WAIT_SAME_LINE_CONTINUATION;4;6;2;"WAIT $02 pauses without a newline; following text continues on the same physical line."
0103;info;WAIT_SAME_LINE_CONTINUATION;4;6;2;"WAIT $02 pauses without a newline; following text continues on the same physical line."
016D;info;IMPLICIT_TEXT_BOX;2;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
016D;info;IMPLICIT_TEXT_BOX;4;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
016D;info;IMPLICIT_TEXT_BOX;6;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
016E;info;IMPLICIT_TEXT_BOX;2;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
017F;info;IMPLICIT_TEXT_BOX;1;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
01DA;info;UNPAUSED_LIVE_LINE_SCROLL_RISK;1;6;3;"Text starts a 4th non-empty line since the previous WAIT/box opening; the live cursor has already entered a scrolling line before the player can pause."
036D;info;IMPLICIT_TEXT_BOX;2;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
04E1;info;UNPAUSED_LIVE_LINE_SCROLL_RISK;1;5;3;"Text starts a 4th non-empty line since the previous WAIT/box opening; the live cursor has already entered a scrolling line before the player can pause."
04E1;info;UNPAUSED_LIVE_LINE_SCROLL_RISK;1;6;3;"Text starts a 4th non-empty line since the previous WAIT/box opening; the live cursor has already entered a scrolling line before the player can pause."
04E1;info;UNPAUSED_LIVE_LINE_SCROLL_RISK;1;7;3;"Text starts a 4th non-empty line since the previous WAIT/box opening; the live cursor has already entered a scrolling line before the player can pause."
04E1;info;IMPLICIT_TEXT_BOX;2;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
04E1;info;WAIT_SAME_LINE_CONTINUATION;4;2;2;"WAIT $08 pauses without a newline; following text continues on the same physical line."
04E1;info;WAIT_SAME_LINE_CONTINUATION;4;3;3;"WAIT $08 pauses without a newline; following text continues on the same physical line."
04E1;info;WAIT_SAME_LINE_CONTINUATION;4;4;3;"WAIT $02 pauses without a newline; following text continues on the same physical line."
04E1;info;WAIT_SAME_LINE_CONTINUATION;4;4;1;"WAIT $02 pauses without a newline; following text continues on the same physical line."
04E1;info;IMPLICIT_TEXT_BOX;5;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
04E1;info;WAIT_SAME_LINE_CONTINUATION;6;3;2;"WAIT $08 pauses without a newline; following text continues on the same physical line."
04E1;info;WAIT_SAME_LINE_CONTINUATION;6;3;2;"WAIT $08 pauses without a newline; following text continues on the same physical line."
04E1;info;UNPAUSED_LIVE_LINE_SCROLL_RISK;6;6;3;"Text starts a 4th non-empty line since the previous WAIT/box opening; the live cursor has already entered a scrolling line before the player can pause."
04E1;info;WAIT_SAME_LINE_CONTINUATION;6;8;3;"WAIT $08 pauses without a newline; following text continues on the same physical line."
04E1;info;WAIT_SAME_LINE_CONTINUATION;6;8;3;"WAIT $08 pauses without a newline; following text continues on the same physical line."
04E1;info;WAIT_SAME_LINE_CONTINUATION;6;8;3;"WAIT $08 pauses without a newline; following text continues on the same physical line."
04E4;info;IMPLICIT_TEXT_BOX;2;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
04E4;info;IMPLICIT_TEXT_BOX;4;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
0559;info;UNPAUSED_LIVE_LINE_SCROLL_RISK;1;6;3;"Text starts a 4th non-empty line since the previous WAIT/box opening; the live cursor has already entered a scrolling line before the player can pause."
055E;info;WAIT_SAME_LINE_CONTINUATION;1;2;1;"WAIT $00 pauses without a newline; following text continues on the same physical line."
055E;info;IMPLICIT_TEXT_BOX;2;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
055E;info;IMPLICIT_TEXT_BOX;4;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
055E;info;IMPLICIT_TEXT_BOX;7;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
0587;info;IMPLICIT_TEXT_BOX;1;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
0587;info;IMPLICIT_TEXT_BOX;3;1;;"Text begins without TEXT_OPEN; preview assumes the box is already open."
